PLAYER,HEIGHT,WEIGHT,MIN,FGA,FGA (LESS THAN 8FT),FGA (8-16 FT),FGA (16-24 FT),FGA (24+ FT),OFF BOX OUTS,DEF BOX OUTS,ISO %,ROLL-HANDLE %,ROLL-MAN %,POST-UP %,DIST MILES OFF,DIST MILES DEF,DFGA,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC/TOUCH,AVG DRIB/TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES
Steven Adams,0.7,0.695364238,1564,0.283248082,0.848758465,0.14221219,0.002257336,0.004514673,0.582804104,0.283887468,0.021,0.018,0.23,0.23,0.386189258,0.664961637,0.536346646,0.683325187,0.604275259,0.240812044,0.284591195,0.059084195,0.871157674,0.43183724,0.859075941
Svi Mykhailiuk,0.5,0.298013245,1265,0.320158103,0.259259259,0.024691358,0.012345679,0.696296296,0,0.052173913,,0.144,,,0.424505929,0.656126482,0.234113712,0.424252396,0.523856916,0.202580029,0.385220126,0.225997046,0.034341288,0,0.033082746
T.J. McConnell,0.2,0.198675497,1188,0.304713805,0.480662983,0.359116022,0.11878453,0.038674033,0,0.028619529,0.045,0.459,,,0.43013468,0.769360269,0.267094017,0.80952527,0.395410049,0.84649918,0.841194969,0.790251108,0.103052771,0.010479502,0.072308048
T.J. Warren,0.55,0.397350993,1984,0.438004032,0.395857307,0.278481013,0.113924051,0.211737629,0.02702519,0.052419355,0.041,0.184,,0.025,0.385080645,0.734879032,0.225069789,0.435644491,0.556967854,0.207447123,0.385220126,0.217134417,0.139338391,0.054906465,0.163197739
TJ Leaf,0.65,0.410596026,193,0.357512953,0.652173913,0.130434783,0.014492754,0.202898551,0.277813355,0.196891192,,,0.191,,0.404145078,0.67357513,0.544041451,0.496067013,0.391166196,0.16094441,0.248427673,0.079763663,0.204624255,0.177391368,0.342375292
Tacko Fall,1,1,24,0.5,1,0,0,0,0,0.416666667,,,,,0.333333333,0.666666667,0.459401709,0.414104383,0.419417088,0.161782662,0.356918239,0.122599705,0,0.907786885,0.917755991
Taj Gibson,0.6,0.476821192,1025,0.27902439,0.681818182,0.111888112,0.157342657,0.048951049,0.496947109,0.355121951,,,0.237,0.117,0.376585366,0.677073171,0.420762977,0.534901662,0.509574713,0.159099437,0.237421384,0.082717873,0.520144874,0.167007483,0.520031883
Talen Horton-Tucker,0.35,0.490066225,5,0.2,0,0,0,1,0,0,,,,,0.4,0.8,1,0.728823715,0.671067341,0.776556777,0.745283019,0.443131462,0,0,0
Tariq Owens,0.65,0.298013245,15,0.333333333,0.4,0,0.2,0.4,0,0,,,,,0.4,0.8,0.811965812,0.463796909,0.447378227,0.258852259,0.209119497,0.06351551,0,0,0.293681917
Taurean Prince,0.5,0.38410596,1857,0.397953689,0.277401894,0.096075778,0.046008119,0.575101488,0.01443672,0.124932687,0.045,0.074,0.04,,0.375336564,0.64189553,0.379851705,0.512178216,0.448703257,0.213270843,0.336477987,0.163958641,0.057420409,0.010056259,0.06523629
Terance Mann,0.4,0.364238411,271,0.199261993,0.537037037,0.203703704,0.037037037,0.222222222,0,0.044280443,,,,,0.439114391,0.782287823,0.42340808,0.613669079,0.39620212,0.530121785,0.694968553,0.568685377,0.131155842,0.022969832,0.138171382
Terence Davis,0.35,0.271523179,1087,0.359705612,0.378516624,0.043478261,0.012787724,0.562659847,0.012331642,0.04599816,0.027,0.168,,,0.414903404,0.737810488,0.354421721,0.530297426,0.47073491,0.335769719,0.507861635,0.41506647,0.108994888,0.002863305,0.143869016
Terrance Ferguson,0.45,0.198675497,1170,0.17008547,0.165829146,0.010050251,0.045226131,0.778894472,0.011456833,0.042735043,,,0.042,,0.356410256,0.731623932,0.432281394,0.211511777,0.304943706,0.053097899,0.198113208,0.073855244,0.030378832,0,0.06777275
Terrence Ross,0.45,0.304635762,1723,0.450957632,0.144144144,0.120978121,0.153153153,0.575289575,0,0.055716773,0.029,0.22,,,0.409170052,0.670922809,0.235203953,0.355509695,0.458283558,0.159998639,0.363207547,0.190546529,0.121480064,0.001806391,0.034515722
Terry Rozier,0.2,0.198675497,2164,0.434842884,0.32837407,0.1434644,0.078639745,0.449521785,0.012388627,0.024029575,0.074,0.269,0.01,,0.398798521,0.68207024,0.294741457,0.663638633,0.593592761,0.545455777,0.661949686,0.537666174,0.049274353,0.001438268,0.050892199
Thabo Sefolosha,0.45,0.364238411,436,0.208715596,0.307692308,0.043956044,0.054945055,0.593406593,0.030744253,0.28440367,,,0.091,,0.366972477,0.688073394,0.492825218,0.398148068,0.30141595,0.124676547,0.257861635,0.098966027,0.099636994,0,0.151556035
Thaddeus Young,0.55,0.496688742,1591,0.377749843,0.544093178,0.058236273,0.02828619,0.366056572,0.210630019,0.130735387,,,,,0.395977373,0.690131992,0.452384406,0.588647689,0.537078827,0.214761145,0.295597484,0.143279173,0.245742026,0.183888589,0.225660681
Thanasis Antetokounmpo,0.45,0.390728477,93,0.387096774,0.722222222,0.083333333,0,0.194444444,0,0.021505376,,,,,0.430107527,0.752688172,0.326716294,0.505830731,0.535170191,0.29225255,0.435534591,0.317577548,0.084930067,0.066933595,0.402628435
Theo Pinson,0.4,0.344370861,365,0.424657534,0.406451613,0.064516129,0.012903226,0.496774194,0.036724642,0.087671233,0.149,0.328,,,0.389041096,0.717808219,0.416578855,0.730638967,0.430524938,0.670179136,0.73427673,0.59084195,0.032459574,0,0.060345599
Thomas Bryant,0.65,0.582781457,901,0.340732519,0.553745928,0.13029316,0.140065147,0.175895765,0.223160284,0.257491676,,,0.301,0.048,0.401775805,0.674805771,0.522923248,0.629475431,0.615703665,0.185304891,0.238993711,0.064992614,0.60487929,0.124358311,0.554931703
Thon Maker,0.75,0.40397351,776,0.24871134,0.512953368,0.098445596,0.056994819,0.32642487,0.190012163,0.273195876,,,,,0.420103093,0.706185567,0.68414618,0.532785846,0.482113457,0.170121974,0.256289308,0.06351551,0.376603558,0.080216809,0.425763089
Tim Frazier,0.15,0.066225166,355,0.264788732,0.308510638,0.159574468,0.212765957,0.319148936,0,0.045070423,,0.507,,,0.414084507,0.65915493,0.352473817,0.84640603,0.442652401,0.929680648,0.883647799,0.76366322,0.100121783,0,0.099272761
Tim Hardaway Jr.,0.4,0.298013245,1815,0.436363636,0.220959596,0.106060606,0.099747475,0.570707071,0.014770793,0.041873278,0.063,0.188,0.023,,0.383471074,0.638016529,0.309246309,0.443719121,0.504687008,0.235320235,0.426100629,0.268833087,0.050045568,0.017148276,0.054610274
Timothe Luwawu-Cabarrot,0.5,0.397350993,670,0.286567164,0.385416667,0.020833333,0.020833333,0.567708333,0.040013416,0.167164179,,0.079,,,0.420895522,0.752238806,0.467470341,0.413362704,0.424007723,0.179651195,0.34591195,0.203840473,0.064838402,0.004645391,0.098624524
Tobias Harris,0.55,0.437086093,2243,0.466339724,0.387189293,0.207456979,0.096558317,0.308795411,0.11952291,0.103432902,0.099,0.183,0.011,0.112,0.398127508,0.649130629,0.318197926,0.585026291,0.60858797,0.349675588,0.481132075,0.305760709,0.200719699,0.220630199,0.150245207
Tomas Satoransky,0.5,0.331125828,1878,0.293397231,0.470054446,0.128856624,0.039927405,0.361161525,0.049963504,0.067092652,0.038,0.32,,,0.43343983,0.750798722,0.237500341,0.729776287,0.524383026,0.591307876,0.652515723,0.577548006,0.111453754,0.028174125,0.121976515
